refseqID,description
NC_002014.1,Enterobacteria phage Ike
NC_027355.1,Bacillus phage BCP8-2
NC_054782.1,Mycobacterium phage Koko
NC_055919.1,Klebsiella phage vB_KpnP_P184
NC_025454.1,Ralstonia phage RS603 DNA
NC_041905.1,Acinetobacter phage SH-Ab 15519
NC_049412.1,Lactococcus phage 88605
NC_040800.1,Actinidia seed-borne latent virus isolate 01227
NC_033211.1,Hubei virga-like virus 15 strain QCM619087 RdRp and hypothetical protein genes
NC_047756.1,Caulobacter phage Sansa
NC_038287.1,Radi virus nucleoprotein
NC_006945.1,Bacillus phage GIL16c
NC_055542.1,Ambrosia asymptomatic virus 1 isolate 05TGP00321 putative RNA-dependent RNA polymerase
NC_052467.1,Mycobacterium phage STLscum
NC_047834.1,Alteromonas virus vB_AspP-H4/4
NC_055002.1,Lactococcus phage vB_Llc_bIBBE1
NC_047790.1,Pseudoalteromonas phage C5a
NC_028270.1,Yellowstone Lake virophage 6
NC_049505.1,Salmonella phage barely
NC_024134.1,Escherichia phage vB_EcoM_FFH2
NC_053503.1,Mycobacterium phage Laurie
NC_027627.1,Propionibacterium phage Solid
NC_002031.1,Yellow fever virus
NC_032552.1,Beihai picorna-like virus 7 strain BHNXC41478 hypothetical protein 1
NC_055857.1,Gordonia phage Jambalaya
NC_030651.1,Nylanderia fulva virus 1 isolate Florida initial polyprotein gene
NC_023735.1,Rhodococcus phage ReqiPepy6
NC_012703.1,Nyamanini virus
NC_005964.2,Mycoplasma phage phiMFV1
NC_013693.1,Shigella phage phiSboM-AG3
NC_030797.1,Bos taurus papillomavirus 17
NC_020852.1,Ostreococcus lucimarinus virus OlV5 genomic sequence
NC_031064.1,Lactococcus phage 98201
NC_019444.1,Synechococcus phage S-MbCM6
NC_014609.1,Armigeres subalbatus virus SaX06-AK20
NC_017980.1,Clostridium phage phiCP7R
NC_054781.1,Mycobacterium phage Priamo
NC_002363.1,Vibrio phage VfO4K68
NC_048079.1,Escherichia phage C5
NC_041895.1,Propionibacterium phage G4
NC_055532.1,Muir Springs virus nucleoprotein
NC_030860.1,Bat mastadenovirus WIV12
NC_005355.1,Lactobacillus prophage Lj965
NC_018834.1,Propionibacterium phage P9.1
NC_018226.1,Swine pasivirus 1
NC_049928.1,Microbacterium phage MonChoix
NC_048730.1,Streptomyces phage Yaboi
NC_049370.1,Lactococcus phage 936 group phage PhiS0139
NC_015249.1,Enterobacteria phage 285P
NC_025421.1,Lactobacillus phage Ld3
NC_002728.1,Nipah virus
NC_033703.1,Xinzhou dimarhabdovirus virus 1 strain XZSJSC65538 hypothetical protein
NC_032603.1,Beihai picorna-like virus 45 strain BHZC37433 hypothetical protein gene
NC_043512.1,Tulane virus nonstructural polyprotein
NC_032610.1,Beihai picorna-like virus 85 strain BHHK129719 hypothetical protein 1 and hypothetical protein 2 genes
NC_014327.1,Pepper yellow mosaic virus RNA
NC_041892.1,Propionibacterium phage B3
NC_028835.1,Lactobacillus phage CL2
NC_023574.1,Lactococcus phage phiL47
NC_042328.1,Mycobacterium virus HelDan
NC_043484.1,Drosophila unispina virus 1 ORF1
NC_003635.1,Modoc virus
NC_032534.1,Beihai sesarmid crab virus 1 strain SCJXSX39422 hypothetical protein 1 and hypothetical protein 2 genes
NC_033223.1,Wenzhou picorna-like virus 14 strain WZSLuoII97619 hypothetical protein 1 and hypothetical protein 2 genes
NC_054657.1,Streptomyces phage Salutena
NC_040711.1,Aplysia californica nido-like virus isolate EK
NC_006383.2,Peste des petits ruminants virus complete genome
NC_047841.1,Klebsiella phage KPN N141
NC_017995.1,Human papillomavirus type 137
NC_040818.1,Leptonychotes weddellii papillomavirus 6 isolate 17495
NC_028927.1,Escherichia phage slur02
NC_007921.1,Agrotis segetum nucleopolyhedrovirus
NC_032871.1,Shahe picorna-like virus 7 strain SHWC0209c12710 hypothetical protein gene
NC_025255.1,Maraba virus from Brazil
NC_015874.1,Nam Dinh virus
NC_051727.1,Mycobacterium phage Willsammy
NC_032527.1,Beihai picorna-like virus 26 strain BZL93356 hypothetical protein 1 and hypothetical protein 2 genes
NC_028904.1,Streptomyces phage Amela
NC_032931.1,Sanxia water strider virus 20 strain SXSSP2584 hypothetical protein 1 and hypothetical protein 2 genes
NC_054967.1,Achromobacter phage vB_AxyP_19-32_Axy04
NC_034017.1,Xishuangbanna aedes flavivirus
NC_033001.1,Wenzhou picorna-like virus 37 strain WZSBei69579 hypothetical protein 1 and hypothetical protein 2 genes
NC_001343.1,Commelina yellow mottle virus
NC_055849.1,Vibrio phage Cody
NC_054985.1,Paenibacillus phage Wanderer
NC_039192.1,Punta Toro virus strain Adames L protein gene
NC_052454.1,Mycobacterium phage Pippin
NC_018874.1,Abalone herpesvirus Victoria/AUS/2009
NC_022337.1,Propionibacterium phage PHL071N05
NC_022892.1,Human papillomavirus type 167 isolate KC10
NC_047743.1,Burkholderia phage Bp-AMP1 complete genome
NC_030148.1,Marbled eel polyomavirus isolate AMV-1
NC_014609.1,Armigeres subalbatus virus SaX06-AK20
NC_027334.1,Aurantimonas phage AmM-1 DNA
NC_017968.1,Staphylococcus phage TEM123
NC_032417.1,Beihai hermit crab virus 3 strain BHJJX21702 putative glycoprotein
NC_032621.1,Beihai picorna-like virus 66 strain BHHQ76843 hypothetical protein gene
NC_009827.1,Hepatitis C virus genotype 6
NC_013528.1,Fort Morgan virus
NC_032757.1,Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2 genes
NC_004313.1,Salmonella phage ST64B
NC_051706.1,Mycobacterium phage Sandalphon
NC_005884.1,Pseudomonas phage PaP2
NC_003840.1,Tomato ringspot virus RNA 1
NC_006942.1,Taro vein chlorosis virus
NC_032482.1,Beihai octopus viurs 2 strain BHZY60909 hypothetical protein gene
NC_022772.1,Salmonella phage Marshall
NC_040673.1,Pelodiscus sinensis picornavirus 1 strain CNSR2011
NC_049435.1,Ruegeria phage vB_RpoP-V12
NC_053003.1,Salmonella phage vB_SalS_ABTNLsp1
NC_017937.1,Nariva virus
NC_031243.1,Mycobacterium phage Xeno
NC_035221.1,Squash chlorotic leaf spot virus
NC_041989.1,Mycobacterium phage Shauna1
NC_002531.1,Alcelaphine herpesvirus 1
NC_029854.1,Yak enterovirus strain SWUN-AB001
NC_051680.1,Mycobacterium phage Mantra
NC_029042.1,Salmonella phage 38
NC_029107.1,Ralstonia phage RS138 DNA
NC_031462.1,Ceratobasidium endornavirus A isolate Murdoch-1 polyprotein gene
NC_031235.1,Cyanophage S-RIM32 isolate RW_108_0702
NC_042340.1,Mycobacterium virus Goose
NC_042019.1,Aeromonas phage AS-gz
