tool,record,length,actual,prediction,lifecycle,value,stat,stat_name
dvf,frag_640_NC_009033.1,500,archaea,viral,,0.5102922320365906,0.1295320702176899,p
dvf,frag_2638_NC_017946.1,500,archaea,non-viral,,0.0478151217103004,0.5043462718019154,p
dvf,frag_1616_NZ_CP065856.1,500,archaea,viral,,0.5001291036605835,0.1371427496284031,p
dvf,frag_208_NC_011766.1,500,archaea,viral,,0.5512488484382629,0.1102278500065852,p
dvf,frag_3374_NC_015676.1,500,archaea,non-viral,,0.1042742356657981,0.4061130030668498,p
dvf,frag_3871_NC_013665.1,500,archaea,non-viral,,0.178725391626358,0.332010009595665,p
dvf,frag_2521_NC_015435.1,500,archaea,non-viral,,0.011218138039112,0.6549605825133117,p
dvf,frag_3149_NZ_CP019327.1,500,archaea,viral,,0.8890665173530579,0.0318820673954354,p
dvf,frag_1368_NC_005791.1,500,archaea,non-viral,,0.1875257194042205,0.3252836365688912,p
dvf,frag_2712_NZ_CP042937.1,500,archaea,viral,,0.9199957847595216,0.0261999285028881,p
dvf,frag_1495_NZ_CP045706.1,500,archaea,non-viral,,0.0382503420114517,0.53005700953922,p
dvf,frag_2634_NZ_CP010070.1,500,archaea,non-viral,,0.1314479559659958,0.3753786524675911,p
dvf,frag_3316_NZ_CP013050.1,500,archaea,non-viral,,0.0009966472862288,0.8244463677585655,p
dvf,frag_1756_NC_015680.1,500,archaea,non-viral,,0.4662892818450928,0.1611789497450563,p
dvf,frag_852_NC_010364.1,500,archaea,non-viral,,0.0091593684628605,0.6726561177068242,p
dvf,frag_358_NC_017946.1,500,archaea,non-viral,,0.4000168442726135,0.198827823665544,p
dvf,frag_179_NZ_CP044013.1,500,archaea,viral,,0.5786174535751343,0.1002370693710135,p
dvf,frag_1770_NC_013158.1,500,archaea,viral,,0.8978804349899292,0.0303392349809027,p
dvf,frag_624_NZ_CP014854.1,500,archaea,non-viral,,0.0425225794315338,0.5177519802818491,p
dvf,frag_2690_NZ_LR699000.1,500,archaea,viral,,0.908991277217865,0.0282507667124499,p
dvf,frag_5276_NZ_CP045142.1,500,archaea,non-viral,,0.1068375706672668,0.4028862255169429,p
dvf,frag_557_NC_015315.1,500,archaea,non-viral,,0.004062264226377,0.7381041976330693,p
dvf,frag_2474_NZ_CP031156.1,500,archaea,viral,,0.8005564212799072,0.048712111234454,p
dvf,frag_1495_NC_014658.1,500,archaea,non-viral,,0.0316544398665428,0.5511204350034807,p
dvf,frag_4179_NC_014537.1,500,archaea,viral,,0.8871729969978333,0.0322865905285141,p
dvf,frag_1724_NC_015474.1,500,archaea,viral,,0.5487868785858154,0.111178008993584,p
dvf,frag_2157_NZ_CP020360.1,500,archaea,non-viral,,0.2082347869873047,0.3100622777474647,p
dvf,frag_1162_NC_014374.1,500,archaea,non-viral,,0.0021320688538253,0.7811435774896988,p
dvf,frag_1684_NZ_CP011070.1,500,archaea,viral,,0.9856408834457396,0.0099061130030668,p
dvf,frag_3016_NZ_CP008746.1,500,archaea,non-viral,,0.4184485971927643,0.1886394852207943,p
dvf,frag_4335_NC_000917.1,500,archaea,non-viral,,0.0049739289097487,0.7227699486349696,p
dvf,frag_751_NZ_CP012172.1,500,archaea,viral,,0.9358674883842468,0.0230107810118722,p
dvf,frag_39_NZ_CP009516.1,500,archaea,non-viral,,0.1372976303100586,0.3696212534572616,p
dvf,frag_2378_NC_000916.1,500,archaea,non-viral,,0.1587208956480026,0.3491222788763664,p
dvf,frag_2360_NZ_CP009524.1,500,archaea,non-viral,,0.2215171903371811,0.3007770607161,p
dvf,frag_4258_NZ_CP033238.1,500,archaea,viral,,0.9994925260543824,0.0014769798114734,p
dvf,frag_3109_NZ_CP014854.1,500,archaea,non-viral,,0.4687121212482452,0.1594667820655139,p
dvf,frag_4890_NC_014297.1,500,archaea,non-viral,,0.0330806337296962,0.5459086718470715,p
dvf,frag_1657_NZ_CP008746.1,500,archaea,non-viral,,0.0169071014970541,0.6166531825622307,p
dvf,frag_3720_NZ_LT158599.1,500,archaea,viral,,0.9960753917694092,0.0048448700822216,p
dvf,frag_4036_NZ_CP009526.1,500,archaea,non-viral,,0.4698823690414428,0.1587706259760296,p
dvf,frag_1173_NZ_CP054708.1,500,archaea,non-viral,,0.0226201750338077,0.5870853637885943,p
dvf,frag_2258_NZ_CP010515.1,500,archaea,viral,,0.9449201822280884,0.0210822404937063,p
dvf,frag_3928_NZ_CP012850.1,500,archaea,viral,,0.5306468605995178,0.118958023669307,p
dvf,frag_121_NZ_CP012200.1,500,archaea,non-viral,,0.0163403861224651,0.6198799601121375,p
dvf,frag_1523_NZ_CP015363.1,500,archaea,viral,,0.5911566615104675,0.0960789478635534,p
dvf,frag_1214_NC_021353.1,500,archaea,viral,,0.842928409576416,0.0405840185139889,p
dvf,frag_3310_NZ_CP011267.1,500,archaea,non-viral,,4.789458034792915e-05,0.931249882406066,p
dvf,frag_291_NC_013964.1,500,archaea,viral,,0.6329566240310669,0.0836045833411729,p
